M	R^2       	epsilon [%]	FC [ms]   	FO [ms]   
1	0.906±0.161	8.3±6.4   	34.8±43.3 	80.0±105.8
2	0.893±0.113	8.9±4.6   	16.3±13.1 	21.6±15.6 
3	0.897±0.080	8.9±3.3   	11.8±3.1  	13.1±5.4  
4	0.908±0.062	8.4±2.5   	10.9±2.0  	12.2±3.2  
5	0.901±0.054	8.7±2.1   	11.0±1.2  	11.5±1.8  
6	0.897±0.046	9.0±1.8   	10.8±1.2  	11.2±1.4  
7	0.892±0.045	9.2±1.7   	11.0±0.9  	11.1±1.2  
8	0.888±0.038	9.5±1.4   	10.9±1.0  	11.2±0.9  
9	0.883±0.035	9.7±1.4   	11.0±0.8  	11.1±0.8  
10	0.868±0.095	10.2±2.4  	11.1±0.7  	11.2±0.7  

